split,conversation_id,tweet_id,brand,created_at,customer_text,keyword_hint,intent,labeler,notes,is_gold
train,2503737,2503737,AppleSupport,2017-11-15 19:58:59+00:00,"nah mate, phones going proper slow and it’s pissing me right off. @115858 get ur shit together",software_issue,,,,False
train,1022571,1022571,AppleSupport,2017-10-22 22:39:32+00:00,One of the stranger features of the new @115858 #iPhone update is that it crashes whenever you try to crop a photo. Hoping it will grow on me,software_issue,,,,False
train,247073,247073,AppleSupport,2017-10-05 14:58:04+00:00,What the HEY! .@115858 .@AppleSupport went for my morning walk and can’t listen to my DLed podcasts and music w/out an internet connection? 👎,other,,,,False
train,2021094,2021094,AppleSupport,2017-11-06 00:44:30+00:00,@AppleSupport guys the iOS 11 is shit nothing works well neither the keyboard nor speaker come on do something what a shame.,software_issue,,,,False
train,560459,560459,AppleSupport,2017-12-02 21:59:24+00:00,"@AppleSupport if my lightning port on my iPhone is broken/ buggy, as in a new charging cord only giving power to my phone in a certain position. Does that get covered by Apple care? Getting pretty annoyed with tedious tinkering to get a charge.",software_issue,,,,False
train,1929028,1929028,AppleSupport,2017-10-26 20:17:39+00:00,"Battery life realy short down 50% at least per day, have shut off many features.  Still poor battery life @applesupport 11.0.3 battery",software_issue,,,,False
train,1467476,1467476,AppleSupport,2017-11-02 17:39:44+00:00,why am I️ still seeing boxes with question marks in them?! @115858 fix this 🗣,other,,,,False
train,2044948,2044948,AppleSupport,2017-10-18 22:52:07+00:00,Yo @AppleSupport why do your gift cards say “Add to the Wallet app” when you actually can’t? https://t.co/guYRD0PrdJ,other,,,,False
train,2917313,2917313,AppleSupport,2017-11-28 23:51:46+00:00,"I restored my iPhone and my iMessage is still not working and now I have 0 followers on Twitter, thanks @AppleSupport",other,,,,False
train,2419006,2419006,AppleSupport,2017-10-29 03:23:13+00:00,"Dear @115858, can you please not mess up my phone ? I’m a broke college student &amp; cant afford a new one .",other,,,,False
train,2641005,2641005,AppleSupport,2017-11-17 21:02:09+00:00,@115858 so I update my phone and because I’m in Spain I can’t get to reset my password 😡😡😡😡,software_issue,,,,False
