tweet_id,customer_text,true_intent,decision,draft_reply,retrieved_evidence,human_score,,,,,,,,
1785132,Okay so its universal #ios11update #ios1102 are behaving crazy.Dont update if you havenÃ¢â‚¬â„¢t.It is acting like a pungent virus @115858,software_issue,ESCALATE_TO_HUMAN,We are sorry to hear that you are experiencing issues with the iOS update. Please contact our support team for further assistance.,"[{""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.2930929797779802}, {""customer_text"": ""where is my order tracking number does nothing"", ""brand_reply"": ""@c13 package is delayed"", ""similarity"": 0.25757259515058506}, {""customer_text"": ""website error 500 every time I click checkout"", ""brand_reply"": ""@c08 we are fixing the error"", ""similarity"": 0.1831649979239629}]",3,,,,,,,,
1467476,why am IÃ¯Â¸Â still seeing boxes with question marks in them?! @115858 fix this Ã°Å¸â€”Â£,software_issue,ESCALATE_TO_HUMAN,We are sorry to hear you are experiencing this issue. Our team is looking into it.,"[{""customer_text"": ""the payment keeps failing on my card"", ""brand_reply"": ""@c06 try another payment method"", ""similarity"": 0.21328645279795383}, {""customer_text"": ""why was I charged twice on my card this month"", ""brand_reply"": ""@c04 looking at the payment now"", ""similarity"": 0.19987335374041276}, {""customer_text"": ""where is my order tracking number does nothing"", ""brand_reply"": ""@c13 package is delayed"", ""similarity"": 0.18595963419042671}]",2,,,,,,,,
1929331,@AppleSupport this new ios11 update is a fucking joke! CanÃ¢â‚¬â„¢t even play music on ur lock screen now or through ur car without it crashing,software_issue,ESCALATE_TO_HUMAN,We are sorry to hear about the issues you are experiencing with the iOS 11 update. Our team is reviewing your report to assist you further.,"[{""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.3660150937966793}, {""customer_text"": ""can I return this and get my money back"", ""brand_reply"": ""@c12 return label is on the way"", ""similarity"": 0.16434593359170896}, {""customer_text"": ""the payment keeps failing on my card"", ""brand_reply"": ""@c06 try another payment method"", ""similarity"": 0.1338653482745233}]",3,,,,,,,,
2020909,@AppleSupport IÃ¯Â¸Â Ã°Å¸â€˜Ë†Ã°Å¸ÂÂ½ yÃ¢â‚¬â„¢all gone fix this?,other,ESCALATE_TO_HUMAN,We are sorry to hear about the issue. Please provide more details about the problem so we can assist you better.,"[{""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.23184308866621312}, {""customer_text"": ""please cancel my subscription today"", ""brand_reply"": ""@c11 cancellation is done"", ""similarity"": 0.21025481762750814}, {""customer_text"": ""I cannot login to my account password reset failed"", ""brand_reply"": ""@c01 we can help reset your password"", ""similarity"": 0.20979482246833955}]",4,,,,,,,,
2013061,@115858 please fix this IÃ¯Â¸Â problem thanks,other,ESCALATE_TO_HUMAN,"We are sorry to hear about the issue you are experiencing. Since the specific problem is not detailed, please provide more information so we can assist you further.","[{""customer_text"": ""the payment keeps failing on my card"", ""brand_reply"": ""@c06 try another payment method"", ""similarity"": 0.31244457224024214}, {""customer_text"": ""where is my order tracking number does nothing"", ""brand_reply"": ""@c13 package is delayed"", ""similarity"": 0.3037268831509601}, {""customer_text"": ""website error 500 every time I click checkout"", ""brand_reply"": ""@c08 we are fixing the error"", ""similarity"": 0.27848856847492176}]",4,,,,,,,,
2616602,"@AppleSupport 2 things that still drive me made in IOS 11! 

1) please stop automatically turning the Bluetooth on.

2) please stop the camera defaulting to Ã¢â‚¬Ëœlive photoÃ¢â‚¬â„¢ even when I turn it off! 

Yours - Most iPhone users. 

Ã°Å¸Â¤Â¯Ã°Å¸Â¤Â¬",software_issue,ESCALATE_TO_HUMAN,We are sorry to hear about the issues you are experiencing with Bluetooth and Live Photos. Our team is looking into this to provide a solution.,"[{""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.19766779833616382}, {""customer_text"": ""website error 500 every time I click checkout"", ""brand_reply"": ""@c08 we are fixing the error"", ""similarity"": 0.12578368518227034}, {""customer_text"": ""where is my order tracking number does nothing"", ""brand_reply"": ""@c13 package is delayed"", ""similarity"": 0.11189906674955732}]",3,,,,,,,,
2949633,Why every time i type Ã¢â‚¬Å“itÃ¢â‚¬Â my phone type Ã¢â‚¬Å“I.TÃ¢â‚¬Â @AppleSupport think you guys have another glitch Ã°Å¸Â¤Â¦Ã°Å¸ÂÂ½Ã¢â‚¬ÂÃ¢â„¢â€šÃ¯Â¸Â,software_issue,ESCALATE_TO_HUMAN,We are sorry to hear about the issue with your keyboard. Our team is looking into this for you.,"[{""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.22243344880720653}, {""customer_text"": ""why was I charged twice on my card this month"", ""brand_reply"": ""@c04 looking at the payment now"", ""similarity"": 0.19687849794263634}, {""customer_text"": ""I cannot login to my account password reset failed"", ""brand_reply"": ""@c01 we can help reset your password"", ""similarity"": 0.1758753810428233}]",3,,,,,,,,
1906807,My phone has already died 21% and IÃ¢â‚¬â„¢ve only been awake for an hour... stop fucking with me @115858,software_issue,ESCALATE_TO_HUMAN,"We are sorry to hear about the frustration with your device's battery performance. As this issue requires specific technical diagnosis and is not covered by our standard automated troubleshooting steps, we have escalated your case to a human specialist who can assist you further.","[{""customer_text"": ""please cancel my subscription today"", ""brand_reply"": ""@c11 cancellation is done"", ""similarity"": 0.35646157612844187}, {""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.27962320809174834}, {""customer_text"": ""the payment keeps failing on my card"", ""brand_reply"": ""@c06 try another payment method"", ""similarity"": 0.2446658733282604}]",4,,,,,,,,
2419006,"Dear @115858, can you please not mess up my phone ? IÃ¢â‚¬â„¢m a broke college student &amp; cant afford a new one .",other,ESCALATE_TO_HUMAN,We are sorry to hear about your concerns. A supervisor will DM you.,"[{""customer_text"": ""can I return this and get my money back"", ""brand_reply"": ""@c12 return label is on the way"", ""similarity"": 0.2954611917571722}, {""customer_text"": ""please cancel my subscription today"", ""brand_reply"": ""@c11 cancellation is done"", ""similarity"": 0.2631110370826337}, {""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.2467924156201346}]",4,,,,,,,,
1576463,"After the update, apparently my iPhone no longer recognizes the letter IÃ¯Â¸Â and IÃ¯Â¸Ât just shows up as a ? on my phone now. Wtf @AppleSupport https://t.co/1jWh3My7AD",software_issue,ESCALATE_TO_HUMAN,We are sorry to hear about the issue with your iPhone. Please allow our team to investigate this further.,"[{""customer_text"": ""the app is not working it crashes on open"", ""brand_reply"": ""@c07 try reinstalling the app"", ""similarity"": 0.197986905420702}, {""customer_text"": ""where is my order tracking number does nothing"", ""brand_reply"": ""@c13 package is delayed"", ""similarity"": 0.1844258609488847}, {""customer_text"": ""why was I charged twice on my card this month"", ""brand_reply"": ""@c04 looking at the payment now"", ""similarity"": 0.16883598978486158}]",3,,,,,,,,
